"id","uid","user","num_changes","date","imagery_used","hashtags","created_by","min_lat","max_lat","min_lon","max_lon"
"88516292","10652956","Bluemlisalp","175","2020-07-26",,"#hotosm-project-7709;#missingmaps;#indonesia;#redcross;#amm;#adt","JOSM/1.5 (16239 en)","-3.7269511","-3.7259140","104.7943371","104.7986103"
"88516291","365608","flother","17","2020-07-26",,,"JOSM/1.5 (16731 en)","64.1048464","64.1056806","-21.8819772","-21.8804189"
"88516290","11455701","Dpk3","1","2020-07-26","Maxar-Premium;.geojson data file",,"iD 2.18.3","8.9078055","8.9078055","76.7628000","76.7628000"
"88516289","10128826","Alexandr Kovacs","285","2020-07-26","Bing;Maxar-Premium",,"iD 2.18.3","48.4895337","48.6159934","22.4430138","22.5452596"
"88516288","352655","benjidad","69","2020-07-26",,,"JOSM/1.5 (16731 en)","-2.7399822","-2.7346748","120.2914309","120.2959853"
"88516287","415109","fiuzzy","1","2020-07-26",,,"StreetComplete 21.2","47.1230827","47.1234116","-2.1117377","-2.1106889"
"88516286","11551989","MTaiseer94","270","2020-07-26","Bing",,"iD 2.18.3","26.1648073","26.1670526","50.5393188","50.5414609"
"88516285","11201803","Hiblet","415","2020-07-26","Bing",,"iD 2.18.3","51.2749753","51.2783046","-0.2398327","-0.2347898"
"88516284","10493415","User6 - Lightcyphers","2","2020-07-26",,"#Kaart2020;#Lightcyphers","JOSM/1.5 (15937 en)","48.6034293","48.6173496","35.8813720","35.9091482"
"88516283","1757456","Siegmarer","144","2020-07-26","GEOSN-DOP-RGB;GEOSN-DOP-2005;GEOSN-DOP-2012_2014",,"iD 2.18.3","50.7910505","50.8112685","12.9163254","12.9475432"
"88516282","10893996","Такси Зуя","27","2020-07-26","MAPNIK",,"iD 2.18.3","45.0487397","45.0565361","34.3143979","34.3288417"
"88516281","5222260","Petro Petrytsa","1","2020-07-26",,,"MAPS.ME ios 10.1.2","49.5585178","49.5585178","25.6226027","25.6226027"
"88516280","2892217","wanderopa","10","2020-07-26",,,"JOSM/1.5 (16731 de)","50.5428817","50.5440641","7.4526309","7.4560197"
"88516279","8671148","Connecticut","39","2020-07-26",,,"JOSM/1.5 (16731 de)","51.3611567","51.3617851","12.2925722","12.2932456"
"88516278","3396283","P9 lite","1","2020-07-26","Bing",,"iD 2.18.3","41.7069070","41.7073310","15.7212111","15.7255948"
"88516277","10124868","rkkarnee","26","2020-07-26","Esri World Imagery;Bing Streetside;Mapillary Images;Mapillary Signs;OpenStreetCam Images;Amazon Daily Imagery;Esri World Imagery (Clarity) Beta","#MapWithAI","iD 2.17.2","36.3229210","36.3314737","-86.9461865","-86.9235541"
"88516276","609636","PtChav","2","2020-07-26",,,"JOSM/1.5 (8109 SVN fr)","44.1533628","44.1538184","5.4284621","5.4293906"
"88516275","3429710","Natalia18","1","2020-07-26","EsriWorldImagery",,"iD 2.18.3","54.5394530","54.5396310","36.2598242","36.2601790"
"88516274","6590101","HansWürstchen","1","2020-07-26","EsriWorldImageryClarity",,"iD 2.18.3","51.6425676","52.0187838","10.7819067","11.3167686"
"88516273","109705","gscholz","2","2020-07-26",,,"JOSM/1.5 (16731 de)","-14.8737761","-14.8699246","-64.4833992","-64.4820267"
"88516272","11377198","Ben Pearcey","72","2020-07-26","Bing;.gpx data file","#hotosm-project-8988;#covid19;#COVJam","iD 2.17.3","18.0543615","18.0571409","-77.5413419","-77.5400753"
"88516271","2094488","didimosi","154","2020-07-26",,,"JOSM/1.5 (16731 de)","52.8065555","52.8077982","9.1343996","9.1368229"
"88516270","270456","pyrog","35","2020-07-26",,,"JOSM/1.5 (16731 fr)","42.6276541","42.6280400","8.9216662","8.9221142"
"88516269","9945425","nour_saeed","426","2020-07-26",,,"JOSM/1.5 (16239 en)","25.7515578","26.0048406","32.6376670","32.7611574"
"88516268","2481418","Mr_67","1167","2020-07-26",,,"JOSM/1.5 (14760 Debian uk)","49.3020658","49.4438798","33.1695178","33.3338491"
"88516267","2812529","multimodaal","201","2020-07-26",,,"JOSM/1.5 (16731 nl)","52.2973178","52.3285124","5.8017661","5.8650180"
"88516266","5406836","s88239","4","2020-07-26",,,"JOSM/1.5 (16731 en)","23.0089521","23.0104900","120.4157123","120.4170758"
"88516265","4816382","jul2","12","2020-07-26",,,"JOSM/1.5 (16731 nl)","51.1445640","51.1459149","2.7459843","2.7495827"
"88516264","2112541","ted3sco","356","2020-07-26",,,"JOSM/1.5 (15937 en)","46.1160781","46.2818473","23.6798288","23.9246891"
"88516263","9069028","UNGSC-DTLM-Ale_Zena","1156","2020-07-26",,"#UNGSC;#UniteMaps;#UNSOS","JOSM/1.5 (16805 en)","3.7470838","4.0000024","45.2423376","45.3250000"
"88516262","289005","Utible","465","2020-07-26","EsriWorldImageryClarity;EsriWorldImagery",,"iD 2.18.3","46.1635925","46.1888769","-123.9444846","-123.9083015"
"88516261","11499038","daniel-malinowski","1","2020-07-26","Geoportal2-PL-aerial_image",,"iD 2.18.3","50.9582537","50.9582537","15.9299072","15.9299072"
"88516260","2127855","czubi","1","2020-07-26",,,"JOSM/1.5 (16731 de)","50.8220055","50.8220111","11.6513965","11.6514364"
"88516259","10493415","User6 - Lightcyphers","75","2020-07-26",,"#Kaart2020;#Lightcyphers","JOSM/1.5 (15937 en)","48.5468071","48.6865808","35.8796342","36.0006945"
"88516258","9222322","Tensen","4","2020-07-26","Bing",,"iD 2.18.3","43.8307413","43.8321587","7.8261664","7.8327133"
"88516257","10919793","Westerdan","1","2020-07-26","fr.ign.bdortho",,"iD 2.18.3","44.7970628","44.8009505","1.2716246","1.2840300"
"88516256","11409388","Hutte","96","2020-07-26","lantmateriet-topowebb",,"iD 2.18.3","57.3990704","57.4336609","12.1065097","12.1564644"
"88516255","118134","scai","1","2020-07-26",,,"JOSM/1.5 (16731 de)","51.1274539","51.1276554","13.5289870","13.5292817"
"88516254","352655","benjidad","19","2020-07-26",,,"JOSM/1.5 (16731 en)","-2.7354853","-2.7233339","120.2914309","120.2943893"
"88516253","2491053","ManelG","39","2020-07-26","Mapy",,"Go Map!! 1.7.1","42.3218576","42.4102992","1.0632822","1.1309968"
"88516252","6519568","TeBaMa","911","2020-07-26",,,"JOSM/1.5 (16731 nl)","22.2484522","22.2533432","88.8933805","88.8959463"
"88516251","11551703","JohnnyAZ520","1","2020-07-26","Bing",,"iD 2.18.3","32.7528217","32.7528217","-111.5546677","-111.5546677"
"88516250","10397245","chamdam","6","2020-07-26","fr.ign.bdortho",,"iD 2.18.3","43.6692050","43.6727595","4.1214373","4.1281054"
"88516249","8359318","Skwaloo","1","2020-07-26","MAPNIK",,"iD 2.18.3","45.1434231","45.1435485","4.1255981","4.1258921"
"88516248","11155676","jemily1","17","2020-07-26","PNOA-Spain-TMS",,"iD 2.18.3","38.3711265","38.3719470","-0.4958141","-0.4941035"
"88516247","3068577","ainki","21","2020-07-26",,,"JOSM/1.5 (16731 en_GB)","60.1483185","60.1495964","24.6425515","24.6450051"
"88516246","9382746","JonasCz","1","2020-07-26",,,"OsmAnd 3.7.4","44.7202296","44.7202296","0.3057186","0.3057186"
"88516245","581707","85Bas","3","2020-07-26",,,"JOSM/1.5 (16731 en)","52.5312991","52.5316497","6.3073822","6.3078581"
"88516244","11552099","daria_gordina","122","2020-07-26","Bing;.gpx data file","#hotosm-task-231","iD 2.17.3","-7.1298349","-7.1290566","112.1238716","112.1245018"
"88516243","3488132","David9","207","2020-07-26","Bing;.gpx data file","#hotosm-project-8986;#covid19;#COVJam","iD 2.17.3","18.1789736","18.1865524","-76.6594773","-76.6533178"
"88516242","3376734","martinairmaps","27","2020-07-26","Bing;.gpx data file","#hotosm-project-1497;#m4r;#USAID;#PeaceCorps;#PCMozambique;#AIRSmoz2016;#youthmappers","iD 2.17.3","-17.6127330","-17.6104778","36.2557101","36.2575367"
"88516241","6788467","Levar","4","2020-07-26","Bing",,"iD 2.18.3","13.3847941","13.3893363","-13.8299213","-13.8203162"
"88516240","10237882","dominikbek","3","2020-07-26","Geoportal2-PL-aerial_image",,"iD 2.18.3","49.6461813","49.6528191","21.1701321","21.1836100"
"88516239","118134","scai","1","2020-07-26",,,"JOSM/1.5 (16731 de)","51.1215093","51.1215093","13.5416810","13.5416810"
"88516238","4798255","ck_179","7","2020-07-26",,,"JOSM/1.5 (16731 en)","52.3840771","52.3847920","13.0630276","13.0645683"
